customer_name,customer_profile,thumbnail,rating,review_title,date,review_snippet
Reynier Lores fis,/gp/profile/amzn1.account.AHCPV4CK476EFNVI62OV7OVHGHTA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsNice,"Reviewed in the United States on January 9, 2026",Perfecto
Olga,/gp/profile/amzn1.account.AGG5TUVXYCUTISPJ3CJWC5GSDRKQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsLa calidad,"Reviewed in the United States on October 1, 2024",Excelente de muy buena calidad
Julie ,/gp/profile/amzn1.account.AG7UTFDZL24BHJT4RLJCQ56Y4LTA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsComfy,"Reviewed in the United States on September 5, 2023",My son says they are very comfortable. Likes the style and support.
HR Builder,/gp/profile/amzn1.account.AEQNV2ANRUCTVW5K6BZEZXUFNIYA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,4.0 out of 5 stars,4.0 out of 5 starsWatch the prices,"Reviewed in the United States on April 15, 2025",Love these shoes but litterally a day after I bought them they dropped $10. Not happy about that.
Heather Kelley,/gp/profile/amzn1.account.AGPKL7X7URPP2Z6ITN7SJ3BK67PA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsHighly recommend,"Reviewed in the United States on September 16, 2025",Extremely stylish kid shoes. Goes with everything and also very comfy. Will be purchasing again in bigger size
